datetime,open,high,low,close,volume
2024-01-01 16:00:00,2062.598,2066.595,2062.275,2065.358,0
2024-01-01 20:00:00,2065.358,2070.578,2063.915,2069.505,0
2024-01-02 00:00:00,2069.525,2076.665,2069.415,2073.235,0
2024-01-02 04:00:00,2073.235,2078.825,2064.995,2067.845,0
2024-01-02 08:00:00,2067.815,2070.965,2055.818,2066.005,0
2024-01-02 12:00:00,2066.085,2066.865,2057.915,2058.115,0
2024-01-02 16:00:00,2058.225,2062.045,2057.975,2060.105,0
2024-01-02 20:00:00,2060.115,2065.525,2059.475,2064.775,0
2024-01-03 00:00:00,2064.755,2065.835,2058.805,2059.908,0
2024-01-03 04:00:00,2059.965,2060.485,2041.685,2045.595,0
2024-01-03 08:00:00,2045.565,2048.698,2031.218,2032.345,0
2024-01-03 12:00:00,2032.405,2042.205,2030.515,2040.878,0
2024-01-03 16:00:00,2040.955,2043.835,2040.215,2042.065,0
2024-01-03 20:00:00,2042.075,2046.808,2040.055,2043.015,0
2024-01-04 00:00:00,2043.005,2049.445,2042.345,2046.715,0
2024-01-04 04:00:00,2046.695,2050.855,2043.245,2045.835,0
2024-01-04 08:00:00,2045.895,2047.625,2036.155,2044.675,0
2024-01-04 12:00:00,2044.725,2044.955,2040.765,2042.995,0
2024-01-04 16:00:00,2043.025,2044.665,2042.725,2044.265,0
2024-01-04 20:00:00,2044.275,2048.155,2043.995,2044.555,0
2024-01-05 00:00:00,2044.515,2046.925,2040.805,2042.385,0
2024-01-05 04:00:00,2042.305,2043.598,2037.035,2040.115,0
2024-01-05 08:00:00,2040.135,2063.838,2024.255,2044.948,0
2024-01-05 12:00:00,2044.925,2050.195,2040.335,2043.575,0
2024-01-05 16:00:00,2043.645,2046.068,2043.645,2045.355,0
2024-01-07 16:00:00,2044.385,2046.245,2042.805,2045.875,0
2024-01-07 20:00:00,2045.855,2046.525,2034.975,2035.715,0
2024-01-08 00:00:00,2035.665,2036.045,2026.925,2028.205,0
2024-01-08 04:00:00,2028.165,2031.685,2016.604,2024.585,0
