timestamp,open,high,low,close
1780673100000,4464.86726,4464.86726,4462.18488,4462.64637
1780673400000,4463.45551,4466.94019,4463.45551,4464.11468
1780673700000,4464.49216,4464.49216,4462.26913,4462.51011
1780674000000,4462.95654,4463.09024,4461.05811,4462.5843
1780674300000,4462.63934,4464.12915,4461.9538,4463.78428
1780674600000,4463.26192,4464.58884,4462.6919,4462.78833
1780674900000,4462.99269,4463.6879,4462.8386,4463.21456
1780675200000,4463.10937,4463.12865,4461.2023,4463.04074
1780675500000,4462.90153,4462.99901,4460.10437,4460.32484
1780675800000,4460.64327,4466.05274,4459.50767,4465.24494
1780676100000,4463.91309,4468.56911,4463.91309,4466.12622
1780676400000,4466.91194,4468.87429,4466.91194,4468.23399
1780676700000,4468.07284,4468.24996,4463.45088,4464.11737
1780677000000,4464.9961,4465.01948,4459.70655,4462.96909
1780677300000,4461.99005,4465.25801,4461.99005,4465.05698
1780677600000,4464.78811,4465.7142,4462.89936,4465.31373
1780677900000,4465.23052,4469.07401,4465.23052,4466.882
1780678200000,4468.05353,4468.05353,4464.88369,4465.44033
1780678500000,4465.21246,4465.72307,4462.96561,4464.20308
1780678800000,4463.9313,4464.89376,4463.6879,4463.98223
1780679100000,4463.82878,4464.63408,4463.08574,4464.3376
1780679400000,4463.86434,4465.08305,4463.6879,4463.85418
1780679700000,4464.14117,4465.48183,4464.14117,4464.94871
1780680000000,4465.04302,4467.87528,4465.04302,4467.66033
1780680300000,4467.37266,4468.55634,4465.48183,4465.54811
1780680600000,4465.56885,4466.67858,4463.65051,4464.18246
1780680900000,4465.1688,4465.1688,4462.29362,4463.26334
1780681200000,4463.10845,4464.04618,4461.27556,4463.55854
1780681500000,4462.54781,4467.27719,4462.54781,4465.04999
1780681800000,4465.15266,4467.67636,4465.15266,4466.73184
1780682100000,4466.8025,4466.8781,4466.47907,4466.51138
1780682400000,4466.59774,4467.01026,4464.48502,4464.57571
1780682700000,4464.67597,4466.6283,4463.88715,4466.30014
